"food","Alabama","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"chicken tonight",1,0,0,2,0,0,0,0,2,0,0,4,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,4,0,0,0,0,1,0,1,5,0,0,2,0,0,0,0
"chicken w",0,0,0,12,1,2,0,0,4,1,0,2,0,0,1,0,0,0,3,0,0,0,0,2,0,0,0,0,5,0,7,2,0,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0
"chicken with",0,2,0,5,0,2,0,0,1,1,0,1,1,0,2,0,0,0,2,3,3,0,0,1,0,0,0,0,1,1,3,1,0,1,0,0,1,0,2,0,0,5,0,1,2,0,0,1,0
"chickpea",0,0,0,1,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0
"chili cheese dog",0,0,0,4,1,1,0,0,2,3,0,2,0,0,0,1,0,0,0,3,2,0,2,0,0,1,0,0,1,0,0,0,0,2,2,0,1,0,0,0,0,2,0,0,1,2,0,1,0
"chili cheese dogs",1,1,0,5,0,0,0,1,0,4,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,1,1,0,1,1,0,0,0,5,0,0,0,0,0,1,0
"chip cookie",0,0,0,8,1,1,1,0,0,2,0,1,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,2,0,8,0,0,0,0,1,3,1,0,0,0,2,0,0,0,1,0,0,0
"chip cookies",3,5,1,21,0,2,2,1,7,6,0,9,6,2,2,7,0,0,0,2,1,1,1,3,0,2,2,1,1,0,10,7,0,4,0,0,8,0,1,1,1,11,1,1,6,5,0,2,1
"chip pancakes",0,0,0,3,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0,4,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0
"chips ahoy cookies",0,0,0,3,0,0,0,0,0,2,0,1,1,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0,2,0,1,2,0,4,0,0,2,0,0,0,0
"choc chip cookies",0,2,1,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,1,1,1,0,0,1,1,0,0,0
"chocolate cake",10,5,2,86,3,11,2,5,27,26,2,40,8,6,7,6,11,3,19,18,23,10,9,15,0,1,6,1,23,1,48,23,1,30,6,5,24,0,13,0,13,59,3,0,17,16,1,4,1
"chocolate candy",0,0,0,3,0,1,1,0,0,1,0,4,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0
"chocolate chip cookie",2,4,1,24,2,3,0,3,8,6,0,7,4,1,4,2,3,1,2,8,4,0,1,1,0,1,0,0,11,1,14,5,0,8,0,1,8,1,1,0,5,14,1,0,3,2,1,6,0
"chocolate chip cookie dough",4,0,0,15,1,1,1,0,5,11,1,5,2,1,1,3,4,0,5,4,5,1,2,2,0,0,0,0,3,0,8,3,0,3,4,0,3,0,3,0,1,11,0,0,4,0,1,5,0
"chocolate chip cookies",17,8,12,71,10,15,5,4,37,31,0,26,14,5,7,8,15,2,30,18,26,7,9,11,0,6,5,3,29,1,29,22,1,36,11,10,32,2,21,1,9,60,5,1,18,10,6,5,1
"chocolate chip pancakes",2,5,2,26,1,3,1,2,11,9,0,12,7,5,1,6,0,0,11,12,5,3,1,2,1,1,1,1,13,0,25,12,1,23,3,1,11,1,7,0,7,7,0,0,9,4,2,4,0
"chocolate cookies",1,1,0,4,1,0,0,0,5,3,0,3,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,1,2,0,1,0,2,4,1,0,1,0,0,0,0
"chocolate covered pretzels",3,3,0,13,1,1,0,0,4,5,0,5,4,1,1,1,1,0,6,5,7,0,2,0,0,0,0,1,11,3,7,1,0,11,1,2,14,0,1,1,1,6,0,0,1,1,3,3,0
"chocolate cupcake",0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"chocolate ice cream",7,2,5,18,1,3,3,1,11,9,0,7,1,3,1,1,2,1,5,1,9,4,2,3,0,1,2,0,5,0,18,6,0,12,1,2,7,0,5,0,5,9,1,1,2,3,4,6,1
"chocolate pudding",1,1,0,6,1,3,0,0,3,0,0,2,2,0,0,2,2,0,0,0,2,2,1,3,0,1,0,1,1,0,2,1,0,3,1,1,1,1,1,0,0,1,1,0,1,0,0,1,0
"christmas cookies",2,0,1,7,2,4,0,0,13,7,0,8,5,0,2,5,1,1,7,6,16,9,1,0,0,2,1,0,6,0,21,4,0,20,3,1,11,3,1,0,4,8,1,0,2,9,2,3,0
"cinnamon raisin bagel",0,1,0,3,0,2,0,1,1,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,8,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,1,0
"clam",8,4,0,25,1,5,1,1,15,10,0,9,3,1,0,3,2,2,6,14,9,4,1,7,0,2,2,2,11,2,30,9,0,13,2,3,13,0,7,0,4,27,2,0,2,4,0,4,1
"clams",1,2,0,21,1,5,1,4,7,1,0,10,0,0,0,0,1,1,6,10,4,1,0,0,0,0,1,0,15,0,19,2,0,2,2,0,6,1,2,0,2,6,2,0,5,8,1,4,0
"coconut oil",1,1,0,8,0,0,0,0,4,4,0,6,2,0,1,1,0,0,3,3,2,0,1,1,0,0,1,2,2,0,4,1,0,0,0,1,3,0,1,1,3,5,0,1,1,0,1,2,0
"coffee and donuts",1,1,1,5,0,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,4,1,0,1,0,0,1,0,2,0,1,7,0,0,3,0,0,0,0
"coffee cake",0,2,1,19,3,0,1,0,2,1,0,4,4,1,0,0,1,0,1,5,3,1,0,0,0,1,1,1,2,0,4,0,0,1,0,2,3,0,0,0,1,4,0,0,1,0,0,1,0
"cold pizza",7,4,1,29,2,6,5,3,12,21,1,15,10,3,8,3,11,1,14,8,12,7,8,4,1,1,5,1,8,2,17,15,0,17,4,2,12,0,8,0,4,23,0,0,15,6,2,3,0
"collard",0,1,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,5,3,0,2,1,0,0,0
"collard greens",19,0,0,17,2,6,2,3,40,45,0,7,2,0,0,0,4,0,19,11,9,1,7,2,0,0,2,0,13,2,27,18,0,4,1,3,8,1,16,0,5,9,0,0,9,4,1,1,0
"collards",1,0,0,2,0,0,0,1,4,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,15,0,0,0,0,1,0,8,0,1,0,0,0,2,1,0,0,0
"condensed milk",0,0,1,8,1,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0
"cookie",65,42,27,349,31,44,15,21,177,162,3,177,93,16,23,29,97,2,135,71,109,49,59,46,2,17,17,3,105,6,181,120,5,244,29,22,131,13,71,3,98,238,19,4,98,47,23,39,1
"cookie cake",9,1,1,3,0,0,1,0,10,6,0,0,2,1,2,3,12,0,0,2,6,0,0,4,0,1,1,0,1,0,12,3,0,10,1,0,6,2,3,0,2,29,0,0,2,0,4,0,0
"cookie crisp",1,0,0,3,0,2,0,1,2,2,0,1,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,2,3,0,4,0,0,4,0,1,0,2,4,1,0,1,0,0,1,0
"cookie cutter",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"cookie dough",20,11,13,72,11,10,6,3,40,39,3,43,30,11,6,14,16,2,35,36,40,20,8,24,2,10,6,4,30,4,64,24,2,59,13,8,43,4,13,3,21,61,14,5,31,21,11,20,0
"cookie jar",3,6,3,33,2,0,2,1,15,9,0,5,5,3,1,3,3,0,7,5,5,3,1,8,0,5,1,0,7,1,8,6,0,10,3,1,8,2,1,3,3,16,2,1,7,4,0,0,1
"cookie lol",0,1,0,2,0,0,0,0,5,3,0,3,2,0,0,2,4,0,0,0,3,0,1,2,0,0,1,0,0,0,2,5,0,4,0,0,0,0,1,0,0,4,0,0,4,0,0,0,0
"cookies",114,81,59,650,49,69,39,44,289,272,7,298,136,61,64,77,190,9,194,134,223,96,92,102,9,24,43,17,193,16,359,170,9,351,56,50,247,19,139,10,125,543,40,13,152,105,38,93,6
"cookies and",5,1,0,20,0,5,1,0,6,8,0,5,6,2,3,2,6,2,3,5,11,3,1,4,0,3,2,0,6,3,14,12,1,11,0,2,9,0,3,0,6,9,3,0,4,1,1,1,1
"cookies and ice cream",1,0,1,2,0,0,0,0,4,0,0,0,2,0,2,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,2,3,0,0,1,0,0,0,0
"cookies and ice cream",1,0,1,2,0,0,0,0,4,0,0,0,2,0,2,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,2,3,0,0,1,0,0,0,0
"cookies and milk",4,2,0,22,0,2,1,0,13,2,0,9,7,2,3,5,4,0,3,3,7,3,3,2,0,1,2,0,7,2,8,6,0,13,0,0,11,2,3,0,4,21,1,0,3,3,0,3,1
"cookies are",0,1,1,2,2,1,0,0,0,1,0,2,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,4,0,1,0,1,1,0,0,3,0,0,0,0
"cookies ever",0,0,0,7,0,1,0,0,3,2,0,3,2,0,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0
"cookies for",1,0,0,7,0,0,0,0,7,1,0,7,2,1,1,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,4,1,0,1,1,0,5,0,1,0,5,9,0,0,1,1,0,0,0
"cookies for breakfast",1,2,0,4,0,1,0,0,1,1,0,1,2,1,0,1,0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,1,0,3,1,0,1,0,0,0,0,3,1,0,1,2,0,1,0
"cookies haha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"cookies in the world",0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"cookies lmao",0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
"cookies lol",3,0,1,6,1,2,0,0,4,6,0,6,2,0,2,0,3,0,2,2,2,1,1,0,0,0,1,0,4,1,5,1,0,7,0,0,2,1,4,0,2,8,0,0,2,1,2,2,0
"cookies today",1,1,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,4,0,0,1,0,1,0,0,1,0,1,0,0,7,0,0,1,0,0,1,0
"cookies too",0,0,2,2,1,0,0,0,5,2,0,2,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,4,0,1,1,0,3,0,0,1,1,0,0,0
"cooking bacon",1,0,0,1,0,0,0,0,1,1,0,4,0,0,0,0,1,0,0,0,2,1,3,1,0,0,0,0,1,0,2,1,0,1,0,2,2,0,2,0,1,4,0,0,2,1,0,1,0
"cooking chicken",1,0,0,3,0,0,0,0,4,1,0,5,0,0,1,0,2,0,0,2,2,0,1,1,0,0,0,0,0,0,1,2,0,2,0,0,2,0,2,0,0,4,0,0,1,0,0,0,0
"cooking spaghetti",1,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0
"corn",36,14,24,153,14,18,9,11,73,73,3,94,75,42,14,29,63,2,59,49,83,65,21,43,2,23,9,3,50,6,117,61,5,101,19,18,64,23,32,6,98,171,7,3,42,25,11,44,4
"corn beef",0,0,0,4,2,1,0,0,3,1,0,0,0,0,0,0,0,0,1,2,6,1,0,2,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,1,0,1,2,0
"corn beef hash",1,0,0,7,0,2,0,2,3,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,0
"corn bread",12,2,6,23,0,7,1,1,29,36,0,15,5,2,2,3,23,0,8,7,12,6,11,14,0,1,2,1,9,1,13,10,1,13,3,1,6,0,12,0,11,38,1,0,16,7,4,6,0
"corn chips",1,0,2,3,0,1,0,1,0,5,0,1,1,0,0,0,10,0,0,2,5,0,2,0,0,0,1,0,2,1,3,4,0,1,1,0,2,0,1,0,1,4,0,0,1,0,0,1,0
"corn chowder",0,0,0,2,0,2,1,0,0,0,0,2,1,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
"corn dog",3,1,1,31,0,2,0,0,5,4,1,4,5,3,1,1,4,0,7,2,5,1,0,2,0,1,2,2,2,1,8,4,0,2,0,4,5,0,1,0,3,16,1,1,3,3,0,0,0
"corn dogs",5,2,6,33,1,1,1,0,9,12,0,4,2,7,0,5,5,0,1,2,6,5,5,4,0,2,0,0,3,0,9,3,0,5,5,5,3,0,9,4,7,22,2,0,6,2,3,3,0
"corn flakes",3,5,1,12,2,3,0,0,8,5,0,4,1,0,1,0,2,0,3,2,0,1,3,3,0,1,0,0,2,0,6,4,0,3,2,0,2,0,5,0,1,6,0,0,0,1,1,2,0
"corn fritters",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
"corn muffin",0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
"corn muffins",0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"corn on the cob",4,1,5,22,2,7,1,1,17,26,1,14,5,1,1,6,9,1,13,9,6,5,3,5,0,3,0,0,9,0,14,7,1,17,3,5,25,0,8,1,9,23,1,0,10,5,1,6,0
"corn pops",0,0,1,3,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,1,0,1,0,0,1,0,2,0,1,0,0,0,1,2,0,0,0
"corn tortillas",0,1,0,5,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,0,0
"cornbeef",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"cornbread",58,5,14,45,2,5,9,6,40,56,0,43,17,4,6,13,58,1,23,8,42,4,36,17,0,3,5,0,11,0,33,33,2,17,9,4,29,2,34,0,24,93,2,0,27,7,2,6,0
"cornbread dressing",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
"corndog",5,1,6,13,1,1,1,0,5,7,0,2,2,3,1,1,3,1,3,1,0,1,2,0,0,0,1,0,0,0,4,6,0,2,6,1,1,0,0,0,3,5,0,0,2,1,1,0,0
"corndogs",7,1,2,7,1,0,0,0,3,4,0,4,6,0,4,1,3,0,1,2,1,1,2,2,0,0,0,0,1,1,1,3,0,9,4,0,1,0,3,1,4,13,1,0,5,3,1,0,0
"corned beef",1,3,0,24,1,4,0,2,10,3,0,15,3,0,0,1,0,0,6,9,23,1,1,1,0,1,2,2,6,0,21,2,0,12,0,8,3,0,1,0,0,3,0,1,16,7,0,9,0
"corned beef and cabbage",0,1,0,9,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,4,3,1,0,2,0,0,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,1
"corned beef and cabbage",0,1,0,9,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,4,3,1,0,2,0,0,1,0,2,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,1
"corned beef hash",1,1,0,12,1,1,0,1,4,1,0,8,1,0,1,0,0,1,1,1,2,0,1,1,1,0,0,0,1,0,7,2,0,2,2,2,1,0,0,0,1,0,0,1,1,1,0,1,0
"corned beef sandwich",0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,4,0,0,1,0,0,1,0,0,0,2,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"cornflakes",0,0,0,3,0,0,0,1,0,2,1,2,1,0,0,0,3,0,1,0,1,0,1,1,0,0,2,0,1,0,2,2,0,2,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0
"cornish hens",0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,0,2,0,0,1,0,0,0,0,0,0,0
"costco pizza",0,3,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"cottage cheese",2,3,0,26,2,4,1,1,11,9,1,8,10,3,2,2,2,0,5,4,13,3,0,7,1,2,2,2,9,0,12,5,0,20,4,3,9,2,2,0,7,15,1,0,6,12,1,7,0
"cous cous",1,0,0,5,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,1,0,4,0,10,0,0,3,1,1,2,1,0,0,1,2,0,0,26,1,0,0,0
"couscous",0,0,0,5,0,0,0,0,3,0,0,3,2,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,0,5,1,0,2,0,0,2,0,0,0,0,1,0,0,3,0,0,1,0
"crab",16,9,5,134,6,6,3,6,78,42,1,13,7,3,5,3,10,1,53,20,13,7,6,10,0,4,5,1,12,2,99,12,1,20,4,4,54,5,27,0,8,58,2,0,18,21,5,6,0
"crab cake",1,0,0,3,0,0,0,1,8,4,0,0,1,1,0,0,1,0,18,1,1,1,0,1,0,0,1,0,3,0,3,1,0,1,1,2,6,0,2,0,0,4,0,0,8,2,0,0,0
"crab cakes",3,0,0,24,1,3,4,3,18,10,0,6,0,0,2,1,8,1,42,5,3,1,1,4,0,1,0,2,8,0,14,6,0,8,2,1,13,0,8,0,3,7,0,0,13,3,0,3,0
"crab cakes and",0,0,0,1,0,0,1,0,4,4,0,3,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,1,1,0,3,1,0,1,0,0,3,0,3,0,0,2,0,0,2,0,0,2,0
"crab cakes and football",0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,6,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
"crab legs",17,4,7,19,6,2,2,6,48,61,0,18,9,1,3,8,2,0,17,2,20,7,10,12,0,1,8,0,18,1,16,30,0,15,4,0,27,0,20,1,8,18,2,0,20,0,5,7,0
"crab meat",1,0,1,3,1,0,1,0,1,5,0,1,1,0,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0
"crab night",0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0
"crabcakes",1,0,0,1,0,2,0,1,1,1,0,1,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,1,4,0,0,0,0,2,0,0,0,2,0,0,0
"crablegs",2,0,0,0,0,0,0,2,1,7,0,0,1,0,0,0,2,0,1,0,0,0,3,1,0,0,0,0,1,0,3,5,0,2,1,0,2,0,0,0,2,1,0,0,2,1,0,0,1
"crabs",11,4,1,54,2,3,19,18,82,36,0,11,6,5,4,6,32,1,169,14,8,5,3,11,0,4,10,0,29,3,18,26,4,13,5,3,56,3,27,1,11,39,1,0,39,15,2,6,0
"crabs in",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0
"crackers",18,23,11,63,6,7,2,6,54,48,0,39,23,10,9,10,28,2,20,20,33,11,12,13,1,3,5,0,15,4,24,25,1,42,5,5,24,3,19,3,15,60,5,1,24,13,8,12,1
"crave cupcakes",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0,0
"craving ice cream",0,0,2,17,0,0,1,0,4,4,0,0,0,1,0,2,1,0,2,2,1,0,1,0,0,0,0,0,3,0,6,3,0,1,1,1,0,0,2,0,0,14,1,0,2,3,0,0,0
"craving pancakes",0,0,2,5,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0
"craving pizza",0,3,0,14,0,1,0,0,2,1,0,4,2,0,0,0,1,0,0,1,1,0,0,1,0,0,2,1,1,0,3,0,1,1,1,0,0,2,0,0,2,5,0,0,3,1,3,0,0
"crayfish",1,1,0,3,0,0,1,0,3,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
"cream cheese",7,9,1,91,9,11,9,6,37,23,1,34,11,5,9,0,4,2,17,28,22,19,4,12,2,0,5,3,37,3,73,15,1,26,2,9,28,9,14,0,7,34,5,1,15,8,2,6,0
"cream cheese frosting",1,3,0,10,1,0,0,0,4,4,0,2,1,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,5,1,1,0,0,1,0,0,0,0,1,3,0,0,2,2,0,1,1
"cream corn",2,0,1,4,0,1,0,0,3,6,0,2,2,1,1,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,3,0,1,1,0,2,0,1,0,1,7,1,0,0,0,1,1,0
"crispy bacon",0,0,1,2,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,3,0,0,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0
"crunchy peanut butter",1,3,0,2,0,0,1,0,5,0,0,0,4,0,0,0,0,1,1,1,2,2,0,1,0,0,1,0,1,1,2,0,0,6,1,0,0,0,0,0,1,3,0,0,2,1,0,0,1
"crust pizza",0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,8,2,0,0,1,0,0,0,0
"cucumber",5,7,4,53,6,2,2,5,21,14,1,14,12,0,2,3,13,2,10,5,7,3,3,6,1,1,3,0,4,1,20,4,0,15,1,4,12,1,7,1,4,27,2,2,2,7,0,3,1
"cucumbers",4,0,3,21,5,2,1,3,5,8,1,7,1,1,2,2,4,0,5,7,6,2,2,2,0,1,0,0,5,0,6,5,1,7,1,2,14,0,3,0,3,11,0,0,4,2,0,3,1
"cup cake",6,3,0,8,0,1,2,1,6,7,0,8,2,0,1,2,1,0,6,1,4,1,1,1,0,1,0,0,8,0,5,9,1,6,1,2,6,1,2,0,1,7,0,0,5,2,0,1,1
"cup cakes",1,4,1,8,2,4,1,5,8,8,0,3,1,1,1,1,4,0,2,4,8,4,1,3,0,1,2,0,3,0,10,5,0,11,0,1,8,0,3,0,5,3,0,0,4,5,1,1,0
"cupcake",64,25,12,281,16,18,6,29,92,101,0,72,40,16,18,19,50,3,53,55,65,47,32,30,2,5,22,1,61,9,117,67,4,74,15,12,74,5,74,0,36,196,11,8,78,30,9,19,0
"cupcake from",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"cupcake http",0,0,0,7,3,0,0,0,1,0,0,0,1,5,0,0,0,0,3,2,1,6,1,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,2,0,2,5,1,2,2,1,0,0,0
"cupcake lol",0,0,0,2,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,0,2,1,0,0,2,0,1,0,0
"cupcakes",62,47,28,315,21,43,15,36,158,123,5,114,46,18,23,28,54,6,67,82,78,25,20,31,2,10,20,5,106,8,208,84,0,100,32,22,84,8,38,3,38,204,17,2,80,44,15,23,0
"cupcakes and",1,0,1,1,0,0,1,0,2,2,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,5,1,0,3,0,0,2,1,0,0,0,4,1,0,2,0,0,0,0
"cupcakes ever",0,0,0,4,0,0,0,1,1,1,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
"cupcakes for",0,2,3,8,0,2,1,1,1,4,0,2,0,1,2,0,2,0,0,1,4,1,0,1,0,0,2,0,0,1,3,3,0,1,1,1,2,0,1,0,0,8,0,0,1,1,0,0,0
"cupcakes from",0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,0,1,4,0,0,0,0,0,1,0
"cupcakes http",1,2,0,6,0,0,0,0,2,4,0,2,1,2,0,1,2,1,1,2,3,0,0,0,0,0,0,0,11,0,7,1,0,1,0,2,2,0,0,0,1,4,0,0,1,2,0,0,0
"cupcakes lol",1,1,0,5,0,0,0,0,2,2,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0
"cupcakes today",0,0,1,5,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,1,0,0
